Name,Club,Position,Overall
Lee Ji Han,SC Freiburg II,LM,61
Lee Jeong Hyeop,Gangwon FC,ST,61
Kyvon Leidsman,UTA Arad,ST,61
Dexter Lembikisa,Rotherham Utd,RB,61
Jamie Lennon,St. Pats,CM,61
Leung Nokhang,Zhejiang Pro,CB,61
Adam Lewis,Newport County,LWB,61
Rubén Lezcano,Libertad,CM,61
Li Yang,Wuhan 3 Towns,CB,61
Manuel Liendo,Instituto,CAM,61
Lim Eun Soo,Daejeon Citizen,CB,61
Alexander Lind,Silkeborg IF,ST,61
Harvey Lintott,Northampton,RB,61
Liu Yang,Cangzhou FC,CB,61
George Lloyd,Cheltenham Town,ST,61
Per Lockl,SV Waldhof,CDM,61
Enrique Lofolomo,Hallescher FC,CDM,61
Ryan Loft,Port Vale,ST,61
Rosaire Longelo,Accrington,LM,61
Kacper Lopata,Barnsley,CB,61
Yordi López,Liverpool,CM,61
Adrien Louveau,ŁKS Łódź,CB,61
Jason Lowe,Port Vale,RWB,61
Nicolas Lüchinger,FC St. Gallen,RB,61
Kamil Lukoszek,Górnik Zabrze,LM,61
Luo Jing,Wuhan 3 Towns,LM,61
Ismet Lushaku,Varbergs BoIS,CM,61
Néhemie Lusuena,Yverdon Sport FC,CM,61
Taylor Luvambo,En Avant Guingamp,RB,61
Brad Lyons,Kilmarnock,CDM,61
Yann Mabella,SV Waldhof,ST,61
Roman Macek,FC Lugano,CM,61
Renzo Machado,Liverpool,ST,61
Gustav Sandberg Magnusson,Brommapojkarna,CM,61
Niall Maher,Grimsby Town,CB,61
Abdulaziz Majrashi,Al Tai,LB,61
Abdulaziz Majrashi,Damac FC,CDM,61
Breston Malula,Yverdon Sport FC,CB,61
Mikaël Mandron,St. Mirren,ST,61
Richonell Margaret,RKC Waalwijk,LM,61
Shaho Maroufi,Stade-Lausanne,CM,61
Derlis Martínez,Gral. Caballero,LM,61
Esteban Matus,Audax Italiano,LB,61
Iba May,Austria Klagenfurt,CDM,61
Eliezer Mayenda,Sunderland,ST,61
Ibrahim Maza,Hertha Berlin,CAM,61
Bradley Mazikou,Servette FC,LB,61
Malick Mbaye,FC Metz,RM,61
Jake McGing,Macarthur FC,RB,61
Ryan McLaughlin,St. Pats,RB,61
Callum McManaman,Wigan Athletic,RW,61
Charlie McNeill,Stevenage,ST,61
Rick Meissen,Sparta Rotterdam,CB,61
Rollin Menayese,Walsall,CB,61
Jacob Mendy,Wrexham AFC,LWB,61
Osky,R. Oviedo,LB,61
Chris Merrie,Tranmere Rovers,CM,61
Metinho,Sparta Rotterdam,CDM,61
Jonas Michelbrink,MSV Duisburg,CAM,61
Leonel Miguel,R. Sporting,CB,61
Nikola Mileusnić,Brisbane Roar,ST,61
David Min,RKC Waalwijk,ST,61
Alan Mariano Miño,Belgrano,CAM,61
Akash Mishra,Mumbai City FC,LB,61
Jeppe Arctander Moe,Aalesunds FK,LWB,61
Estivel Moreira,Guaraní,CM,61
Valdeci,Tacuary,ST,61
Nathan Moriah-Welsh,AFC Bournemouth,CM,61
Louis Mouton,Pau FC,CM,61
Agon Mucolli,Varbergs BoIS,LW,61
Jack Muldoon,Harrogate Town,ST,61
Toby Mullarkey,Grimsby Town,CB,61
Josh Mulligan,Dundee FC,RB,61
Ian Murphy,FC Cincinnati,CB,61
Fraser Murray,Kilmarnock,LM,61
Alexandru Musi,FC Petrolul,RW,61
Joseph N'Duquidi,FC Metz,CDM,61
Takuhiro Nakai,Real Madrid,CAM,61
Abdenego Nankishi,Heracles Almelo,LW,61
Hampus Näsström,IFK Värnamo,CDM,61
Noah Naujoks,Excelsior,CAM,61
Elliott Nevitt,Crewe Alexandra,ST,61
Alex Newby,Colchester,RM,61
Steve Ngoura,Havre AC,ST,61
Stefan Nigro,Melb. Victory,RB,61
Aleksander D. Nilsson,Sandefjord,CM,61
Junior Noguera,Cerro Porteño,LM,61
Tsiki Ntsabeleng,FC Dallas,CM,61
John O'Sullivan,Bohemian FC,RM,61
Connor O'Toole,Western United,LB,61
Linus Obexer,Stade-Lausanne,LB,61
Emeka Oduah,VfL Osnabrück,LW,61
Shadrach Ogie,Gillingham,CB,61
Ben Old,Well. Phoenix,CAM,61
Andrea Oliveri,Catanzaro,RM,61
Halvor Rødølen Opsahl,HamKam Fotball,CB,61
Orri Óskarsson,F.C. København,ST,61
Moses Otuali,B. Dortmund II,ST,61
Kassoum Ouattara,Amiens SC,LWB,61
Lautaro Ovando,Talleres,ST,61
Nicolás Palavecino,Estudiantes,RM,61
Park Chan Yong,Pohang Steelers,CB,61
Park Cheol Woo,Suwon FC,LB,61
Kaheem Parris,Dynamo Kyiv,RM,61
Răzvan Patriche,FC Dinamo 1948,CB,61
Phoenix Patterson,Fleetwood Town,LM,61
Cristian Paz,FC Voluntari,CB,61
Pei Shuai,Shenzhen FC,CB,61
Dženan Pejčinović,VfL Wolfsburg,ST,61
Matti Peltola,HJK Helsinki,CB,61
Dion Pereira,Sutton United,RM,61
Brayann Pereira,N.E.C. Nijmegen,RB,61
Dylan Perera,CD Tenerife,CAM,61
Hugo Pérez,Villarreal CF B,CB,61
Jeremías Pérez Tica,Newell's,ST,61
Sonny Perkins,Oxford United,CAM,61
Barne Pernot,SC Verl,CB,61
Nebiyou Perry,Nashville SC,LM,61
Jakob V. Persson,IK Sirius,CB,61
Marcel Pięczek,Puszcza,LB,61
Diego Pineda,Dundee FC,ST,61
Gonzalo Piñeiro,Estudiantes,CM,61
Maksymilian Pingot,Lech Poznań,CB,61
Virgile Pinson,FC Botoșani,LW,61
Simon Pirkl,Blau-Weiss Linz,LWB,61
Wiktor Pleśnierowicz,Warta Poznań,CB,61
Dante Polvara,Aberdeen,CDM,61
Paris Polykarpou,Apoel FC,CDM,61
Branco Provoste,Ñublense,CAM,61
Lirim Qamili,Hvidovre IF,ST,61
Mohammed Qasem,Al Nassr,LB,61
Sebastián Quintana,Olimpia,CM,61
Apuia,Mumbai City FC,CM,61
Dion Rankine,Exeter City,RWB,61
Nils Reichmuth,FC Zürich,CAM,61
Guillermo Rendón,Barcelona SC,LB,61
Lewis Richardson,Burnley,ST,61
Joe-Joe Richardson,SV Sandhausen,CAM,61
Manu Rico,SD Huesca,LM,61
Liam Ridehalgh,Bradford City,LB,61
Alan Riquelme,Palestino,LB,61
Víctor Rivarola,Guaraní,ST,61
Scott Robertson,Fleetwood Town,CM,61
Ethan Robson,MK Dons,CM,61
Yomar Rocha,Bolívar,RWB,61
Agustín Rodríguez,Lanús,CAM,61
Nahuel Rodríguez,UCV,RM,61
José David Romero,Talleres,ST,61
Lachlan Rose,Macarthur FC,ST,61
Martin Ove Roseth,Lillestrøm SK,CB,61
Tim Rossmann,Karlsruher SC,ST,61
Sean Roughan,Lincoln City,LWB,61
Tate Russell,WS Wanderers,RB,61
Rijad Sadiku,FC Botoșani,CB,61
Hussain Salem,Al Tai,LB,61
Daniel Samek,Lecce,CDM,61
Alex Samuel,Ross County,ST,61
Sidi Sané,Braunschweig,RW,61
Noa Savignac,Rodez AF,RM,61
Benjamín Schamine,Defensa,CM,61
Tate Schmitt,Houston Dynamo,LB,61
James Scott,Exeter City,ST,61
Dante Sealy,FC Dallas,LM,61
Alexis Segovia,Lanús,RM,61
Shin Chang Moo,GwangJu FC,LM,61
Artur Siemaszko,Puszcza,RM,61
Kevin Silva,Rosario Central,CB,61
Facundo Silvera,Danubio,LM,61
Bipin Singh,Mumbai City FC,LW,61
Chinglensana Singh,Hyderabad FC,CB,61
Anton Skipper,Sarpsborg 08,CB,61
Philip Slørdahl,Lillestrøm SK,CB,61
Tobias Slotsager,Odense BK,CB,61
Harry Smith,Sutton United,ST,61
Julio Soler,Lanús,LB,61
Łukasz Sołowiej,Puszcza,CB,61
Leon Sommer,VfB Lübeck,RB,61
Song Ju Hun,Jeju United,CB,61
Song Long,Shandong Taishan,LB,61
Pape Souaré,Motherwell,LWB,61
Macauley Southam-Hales,Stockport,RWB,61
Konrad Stępień,Puszcza,CB,61
Jonas Sterner,Holstein Kiel,CM,61
Fin Stevens,Oxford United,RB,61
Ryan Stirk,Walsall,CDM,61
Igor Strzałek,Legia Warszawa,CAM,61
Yasir Subaşı,Konyaspor,LB,61
Jonathan Svedberg,Halmstads BK,CM,61
Tomasz Swędrowski,Ruch Chorzów,CDM,61
Przemysław Szur,Ruch Chorzów,CB,61
Patryk Szwedzik,Śląsk Wrocław,ST,61
Ted Tattermusch,B. Dortmund II,ST,61
Fábio Tavares,Coventry City,ST,61
Jon Taylor,Doncaster,RW,61
Christian Theoharous,Central Coast,LM,61
Titouan Thomas,Stade Lavallois,CM,61
Scott Tiffoney,Dundee FC,LM,61
Denis Tomic,WSG Tirol,LM,61
Tong Lei,Shandong Taishan,RB,61
Gonzalo Torres,Central Córdoba,ST,61
Shilow Tracey,Crewe Alexandra,RM,61
Robin Tranberg,Varbergs BoIS,CM,61
Mai Traore,Tromsø IL,ST,61
Nick Tsaroulla,Crawley Town,LB,61
Rayhaan Tulloch,Bradford City,LM,61
Artemijus Tutyškinas,ŁKS Łódź,LB,61
Dario Ulrich,FC Luzern,RM,61
Laurin Ulrich,VfB Stuttgart,CM,61
Christoph Urdl,TSV Hartberg,RW,61
Javier Uzeda,Bolívar,CAM,61
Anthony Uzodimma,Kayserispor,CDM,61
Sebastián Valdéz,Central Córdoba,CB,61
Jack Vale,Lincoln City,ST,61
Cristhian Valencia,CS Emelec,CDM,61
Rikelmi,RWD Molenbeek,RW,61
Rein Van Helden,STVV,CB,61
Robin Velasco,VfB Lübeck,LM,61
Nishan Velupillay,Melb. Victory,RM,61
Fabricio Vidal,River Plate,LB,61
Jair Tavares,Hibernian,LM,61
Benjamín Villalta,Binacional,CB,61
Santiago Visentin,Cittadella,CB,61
Kostyantyn Vivcharenko,Dynamo Kyiv,LB,61
Robin Voisine,FC Nantes,CB,61
Eric Voufack,Rot-Weiss Essen,RB,61
Romeo Vucic,FK Austria Wien,ST,61
Sebastian Wade,Torino,LWB,61
Simon Walde,M'gladbach,RB,61
Falah Waleed,Al Ain FC,CDM,61
Bobby Wales,Kilmarnock,ST,61
Silvan Wallner,FC Zürich,CB,61
Reuell Walters,Arsenal,RB,61
Wang Jianming,Qingdao Hainiu,RWB,61
Wang Song,Nantong Zhiyun FC,RM,61
Wang Wei,Meizhou Hakka,RB,61
Jordi Wegmann,Hallescher FC,LB,61
Shaun Whalley,Accrington,ST,61
Josh Williams,Cheltenham Town,RB,61
Dylan Williams,Chelsea,LB,61
Tomasz Wójtowicz,Ruch Chorzów,LM,61
Matty Wolfe,Barnsley,CDM,61
Xu Xin,Shanghai Port,CM,61
Xu Haoyang,Shanghai Shenhua,LM,61
Yang Yiming,Rongcheng FC,CB,61
Yao Junsheng,Zhejiang Pro,CM,61
Nathan Young-Coombes,Brentford,ST,61
Ali Youssef,BK Häcken,CAM,61
Yuan Mincheng,Changchun Yatai,CB,61
Sean Zawadzki,Columbus Crew,CDM,61
Karim Zedadka,Napoli FC,LB,61
Zhang Yufeng,Changchun Yatai,CM,61
Zhang Jiaqi,Zhejiang Pro,CDM,61
Zheng Long,Qingdao Hainiu,LM,61
Zhong Jinbao,Qingdao Hainiu,CM,61
Sahal Abdul Samad,ATK Mohun Bagan,LW,60
Sabit Abdusalam,Changchun Yatai,CM,60
Kelvin Abrefa,Reading,RB,60
Mohamed Achi,FC Nantes,CM,60
Emile Acquah,Barrow,ST,60
Rio Adebisi,Crewe Alexandra,LB,60
Samuel Adeniran,St. Louis CITY SC,ST,60
Jonathan Afolabi,Bohemian FC,ST,60
Brian Emo Agbor,KAA Gent,CDM,60
Ayman Aiki,AS Saint-Étienne,RM,60
John Akinde,Colchester,ST,60
Abdulmalek Al Ayeri,Al Taawoun,RB,60
Yazeed Al Bakr,Al Hazem,RB,60
Mohammed Al Baqawi,Al Fayha,CB,60
Abdulrahman Al Barakah,Abha Club,CDM,60
Ahmed Al Ghamdi,Ettifaq FC,LM,60
Hazaa Al Hazaa,Al Tai,ST,60
Hamad Al Jayzani,Al Raed,RB,60
Fahad Al Jumayah,Abha Club,RB,60
Khaled Al Kaabi,Al Fayha,RM,60
Saad Al Nasser,Al Taawoun,LM,60
Nasser Al Omran,Abha Club,CDM,60
Omar Al Owdah,Al Khaleej,RB,60
Mukhair Al Rashidi,Al Fayha,RWB,60
Fahad Al Rashidi,Al Riyadh,CDM,60
Abdulaziz Al Shahrani,Damac FC,CF,60
Abdulmalek Al Shammari,Al Taawoun,LB,60
Mansour Al Shammari,Al Hazem,LB,60
Hassan Al Shamrani,Damac FC,CB,60
Sultan Al Shamsi,Al Ain FC,LM,60
Abdulkareem Al Sultan,Al Tai,CB,60
Ali Al Zubaidi,Al Fateh,RB,60
Mohamed Al-Taay,Well. Phoenix,CDM,60
Adrián Alcaraz,Libertad,ST,60
Oliver Alfonsi,Varbergs BoIS,RM,60
Mauricio Amaro,Defensor,CDM,60
Lukáš Ambros,SC Freiburg II,CAM,60
Alexander Ammitzbøll,Aalesunds FK,ST,60
Joe Anderson,Shrewsbury,CB,60
Doru Andrei,FC Voluntari,RM,60
Stredair Appuah,FC Nantes,LM,60
Juan Arias,Atl. Nacional,CB,60
Juan David Arizala,Indep. Medellín,RW,60
Haitham Asiri,Al Ahli,LM,60
Axel Atum,Estudiantes,RM,60
Keanin Ayer,Sandefjord,CM,60
Kwadwo Baah,Burton Albion,LM,60
Onurhan Babuşcu,Gaziantep,RM,60
Fin Back,Carlisle United,RWB,60
Elkan Baggott,Ipswich,CB,60
Owen Bailey,Doncaster,CDM,60
Matt Baker,Newport County,CB,60
Giovani Bamba,Stade-Lausanne,CDM,60
Paweł Baranowski,Ruch Chorzów,CB,60
Ben Barclay,Carlisle United,CB,60
Ryan Barnett,Wrexham AFC,RWB,60
Diego Barrera,Talleres,RM,60
Hamza Barry,Vejle Boldklub,CAM,60
Jakub Bartosz,Puszcza,RB,60
Harry Beautyman,Sutton United,CM,60
Miguel Ángel Becerra,Blooming,RB,60
Edvin Becirovic,IFK Värnamo,LM,60
Yassin Belkhdim,Angers SCO,CM,60
Edgar Ramón Benítez,Tacuary,CB,60
Scot Bennett,Newport County,CDM,60
Florian Bianchini,SC Bastia,RW,60
Huseyin Biler,AFC Wimbledon,RB,60
Nicolas Binder,Austria Klagenfurt,ST,60
Nathan Bitumazala,KAS Eupen,RB,60
Shane Blaney,Motherwell,CB,60
Malachi Boateng,Dundee FC,CDM,60
Ben Bobzien,SC Austria,CF,60
Ștefan Bodișteanu,SC Oțelul Galați,LW,60
Matthew Bondswell,Newport County,LWB,60
Nemanja Bosančić,Dalian Pro,CM,60
Franci Bouebari,SC Freiburg II,CB,60
Jordan Bowery,Mansfield Town,RWB,60
Ronan Boyce,Derry City,RB,60
Roko Brajković,Hajduk Split,ST,60
Jamie Brandon,Livingston,RB,60
Max Brandt,SSV Ulm 1846,CAM,60
Ciaran Brennan,Sheffield Wed,CB,60
Lachlan Brook,WS Wanderers,RM,60
James Brown,Ross County,RWB,60
Tarek Buchmann,FC Bayern München,CB,60
Aleksander Buksa,WSG Tirol,ST,60
Kendall Burks,Chicago Fire FC,CB,60
Finley Burns,Stevenage,CB,60
Luke Byrne,Shelbourne,CB,60
Damián,R. Sporting,CM,60
Joe Caletti,Brisbane Roar,CM,60
Ousoumane Camara,AJ Auxerre,CM,60
Dean Campbell,Barrow,CM,60
Phillip Cancar,Newcastle Jets,CB,60
Valentín Carboni,Monza,CAM,60
Nico Carrera,Holstein Kiel,CB,60
Luis Armando Castro,Delfín S.C.,CDM,60
Juan Cruz Cerrudo,Rosario Central,RM,60
Youssef Chaib,Sandefjord,RW,60
Kegs Chauke,Burton Albion,CM,60
Choi Chul Soon,Jeonbuk Hyundai,RB,60
Mirza Cihan,Gaziantep,LM,60
Momo Cissé,VfB Stuttgart,RM,60
James Clarke,Newport County,CB,60
Max Cleworth,Wrexham AFC,CB,60
Liston Colaco,ATK Mohun Bagan,LW,60
Ethan Coleman,Gillingham,CDM,60
Ciarán Coll,Derry City,LB,60
Kamil Conteh,Grimsby Town,CM,60
Vaughn Covil,Hull City,CAM,60
Trae Coyle,Lausanne-Sport,LM,60
Tristan Crama,Bristol Rovers,CB,60
Filip Čuić,Hajduk Split,ST,60
Pontus Dahbo,BK Häcken,RW,60
Matty Daly,Harrogate Town,CM,60
Ronan Darcy,Crawley Town,CM,60
Mattis Daube,VfB Lübeck,RB,60
Jacob Davenport,Morecambe,CDM,60
Jake Davis,Sporting KC,RB,60
Filipe de Carvalho,Grasshopper Club,LM,60
Ryan De Havilland,Peterborough,CDM,60
Nils De Wilde,Cercle Brugge,CM,60
Laurenz Dehl,Union Berlin,CAM,60
Emeric Depussay,Bordeaux,CM,60
Matt Derbyshire,Bradford City,ST,60
Jacopo Desogus,Cagliari,CF,60
Adam Devine,Rangers,RB,60
Terry Devlin,Portsmouth,CM,60
Mamadou Diakhon,Stade de Reims,LM,60
Samba Diallo,Dynamo Kyiv,LM,60
Papa Amadou Diallo,FC Metz,ST,60
Daan Dierckx,Standard Liège,CB,60
Elijah Dixon-Bonner,QPR,CDM,60
Noah Dodeigne,Standard Liège,CB,60
Jota Pereira,Vitória SC,LW,60
Patryk Dragon,SV Elversberg,CDM,60
Aaron Drinan,Leyton Orient,ST,60
Zach Duncan,AGF,CM,60
Eldin Dzogovic,1. FC Magdeburg,RB,60
Michee Efete,Grimsby Town,RB,60
Abo Eisa,Grimsby Town,ST,60
Omar El Sawy,FC Rapid 1923,CAM,60
Ole Enersen,Strømsgodset IF,LW,60
Jacob Eng,Vålerenga Fotball,RW,60
Jusef Erabi,Hammarby IF,ST,60
Shane Farrell,Shelbourne,RW,60
Stefan Feiertag,Blau-Weiss Linz,ST,60
Mattia Felici,Feralpisalò,CAM,60
Michał Feliks,Ruch Chorzów,ST,60
Feng Zhuoyi,Rongcheng FC,CM,60
Max Fenger,Mjällby AIF,ST,60
Ramzi Ferjani,FC Erzgebirge Aue,CB,60
Seriton Fernandes,FC Goa,RB,60
Alin Fică,CFR 1907 Cluj,CM,60
John Patrick,Getafe CF,CAM,60
Robin Friedrich,SC Verl,ST,60
Tom Gaal,SSV Ulm 1846,CB,60
Tony Gallacher,St. Johnstone,LB,60
Gao Tianyu,Henan SSLM FC,RB,60
Ambroise Gboho,US Concarneau,RM,60
Herman Geelmuyden,Stabæk Fotball,CAM,60
Max Geschwill,SV Sandhausen,CB,60
Alex Gilbert,Middlesbrough,LM,60
Ciaran Gilligan,Burton Albion,CM,60
Samuel Giovane,Ascoli,CM,60
Julian Gölles,Blau-Weiss Linz,RWB,60
Matías González,Banfield,RM,60
Dani González,RC Celta,ST,60
Will Goodwin,Cheltenham Town,ST,60
Danny Grant,Bohemian FC,LM,60
Aaron Greene,Shamrock Rovers,ST,60
Kostandinos Grozos,Newcastle Jets,CAM,60
Fabio Gruber,SC Verl,CB,60
Gu Bin,Zhejiang Pro,CM,60
Braian Guille,Colón,ST,60
Gustavo Santos,SCR Altach,ST,60
Peter Gwargis,Degerfors IF,RW,60
Justin Haak,New York City FC,CDM,60
Antwoine Hackford,Sheffield Utd,ST,60
Wojciech Hajda,Puszcza,CDM,60
Han Chan Hee,Pohang Steelers,CM,60
Han Seung Gyu,FC Seoul,CM,60
Moritz Hannemann,SSV Ulm 1846,RW,60
Mattes Hansen,SC Paderborn 07,CDM,60
Kornelius N. Hansen,Almere City FC,ST,60
Yassine Haouari,Valenciennes FC,CAM,60
Kian Harratt,Huddersfield,ST,60
Abdullah Hawsawi,Damac FC,RB,60
Cian Hayes,Fleetwood Town,LM,60
Justus Henke,SC Paderborn 07,CB,60
Matías Hernandez,San Lorenzo,ST,60
Jack Hinshelwood,Brighton,CDM,60
Jordy Hiwula,Ross County,ST,60
Jason Hoffman,Newcastle Jets,LB,60
Will Hondermarck,Northampton,CM,60
Kevin Höög Jansson,IFK Norrköping,CM,60
Charly Nouck Horneman,Odense BK,RW,60
Ryan Howley,Dundee FC,CM,60
Niall Huggins,Sunderland,LB,60
Reece Hutchinson,Sligo Rovers,LB,60
Arijon Ibrahimović,Frosinone,CAM,60
Pedro Gomes,Boavista FC,CB,60
Richard Iriarte,Monagas SC,CM,60
Felix Irorere,B. Dortmund II,CB,60
Christian Jakobsen,Hvidovre IF,ST,60
Lewis Jamieson,St. Mirren,ST,60
Jang Jae Woong,Suwon FC,RM,60
Jang Seong Won,Daegu FC,RWB,60
Justin Janitzek,FC St. Gallen,CB,60
Vasile Jardan,SC Oțelul Galați,CDM,60
Andres Jasson,New York City FC,RM,60
Alassana Jatta,Viborg FF,ST,60
Jonas Jensen-Abbew,FC Nordsjælland,CB,60
Ryan Johnson,AFC Wimbledon,CB,60
Pat Jones,Huddersfield,LM,60
Yahya Kalley,IFK Norrköping,LB,60
Abu Kamara,Portsmouth,ST,60
Bobby Kamwa,Burton Albion,ST,60
Chris Kane,St. Johnstone,ST,60
Markus Karlsson,Hammarby IF,RB,60
Kazper Karlsson,Halmstads BK,RM,60
Scott Kashket,Sutton United,ST,60
Sean Kavanagh,Shamrock Rovers,LWB,60
Al-Amin Kazeem,Colchester,LWB,60
Jack Keaney,UCD AFC,CB,60
Ruairi Keating,Cork City,ST,60
Amadou Keita,KAS Eupen,CAM,60
Deandre Kerr,Toronto FC,RM,60
Rok Kidrić,Puszcza,ST,60
Kim Woo Suk,Gangwon FC,CB,60
Kim Gyeong Min,FC Seoul,ST,60
Kim Shin Jin,FC Seoul,ST,60
Kim Tae Hwan,Suwon Samsung,RB,60
Benjamin Kimpioka,AIK,ST,60
Eli King,Morecambe,CDM,60
Jeppe Kjær,Sandefjord,RW,60
Mike Kleijn,Feyenoord,LB,60
Pascal Klemens,Hertha Berlin,CDM,60
Ben Knight,Manchester City,RW,60
Michał Koj,Puszcza,LB,60
Mert Kömür,FC Augsburg,CAM,60
Stefan Korsch,1. FC Magdeburg,CAM,60
Christ Kouadio,Politehnica Iași,RB,60
Damjan Kovacevic,TSV Hartberg,RB,60
Marco Krainz,Blau-Weiss Linz,CM,60
Kreshnik Krasniqi,Strømsgodset IF,CM,60
Theodore Ku-DiPietro,D.C. United,LM,60
Willy Kumado,Lyngby BK,RWB,60
Amir Kurdi,Al Riyadh,RB,60
Bram Lagae,KAA Gent,CB,60
Juan Larios,Southampton,LB,60
Nico Lawrence,Colchester,CB,60
Théo Le Normand,En Avant Guingamp,LM,60
Lee Ho Jae,Pohang Steelers,ST,60
Lee Sang min,Suwon Samsung,LW,60
Lee Keun Ho,Daegu FC,ST,60
Lee Jong Sung,Suwon Samsung,CDM,60
Joe Lewis,AFC Wimbledon,CB,60
Li Yuanyi,Shandong Taishan,CM,60
Lorenzo Libutti,Reggiana,RB,60
Lin Longchang,Dalian Pro,CB,60
Wojciech Lisowski,Pogoń Szczecin,RWB,60
Liu Ruofan,Shanghai Shenhua,ST,60
Aboubacar Lô,FC Metz,CB,60
Élysée Logbo,Havre AC,ST,60
Albin Lohikangas,IFK Värnamo,LB,60
Mieszko Lorenc,ŁKS Łódź,CDM,60
Johaneko Louis-Jean,Bordeaux,RB,60
Yannik Lührs,Hannover 96,CB,60
Luo Xin,Henan SSLM FC,RB,60
Sylwester Lusiusz,Cracovia,CM,60
Alexander Lyng,Servette FC,RW,60
Charles M'Mombwa,Macarthur FC,CM,60
Lewis Macari,Notts County,RB,60
Mohamed Belhadj Mahmoud,FC Lugano,CM,60
Navin Malysh,Dynamo Kyiv,RB,60
Josh March,Harrogate Town,ST,60
Francisco Marco,Defensa,CB,60
Adnan Marić,Varbergs BoIS,CM,60
Darragh Markey,Drogheda United,CAM,60
Jahkeele Marshall-Rutty,Toronto FC,RB,60
Franco Martínez,Arsenal,RB,60
Boipelo Mashigo,Unterhaching,LM,60
Ulrik Mathisen,SK Brann,CM,60
Faiz Mattoir,Almere City FC,LW,60
Pelle Mattsson,Silkeborg IF,CM,60
James Maxwell,Doncaster,LB,60
Derek Mazou-Sacko,ESTAC Troyes,CM,60
Declan McDaid,Bohemian FC,LM,60
Callum McFadzean,Wrexham AFC,LWB,60
Jamie McGonigle,Derry City,ST,60
Cameron McJannet,Derry City,CB,60
Shane McLoughlin,Newport County,RWB,60
Daylam Meddah,SM Caen,CM,60
Elias Hoff Melkersen,Strømsgodset IF,ST,60
Tomás Mendes,D. Alavés,CM,60
Diego Méndez,Rayo Vallecano,CB,60
Juan José Mera,Deportes Tolima,CB,60
Kai Meriluoto,Stal Mielec,ST,60
Nicolás Meza,Palestino,CM,60
Kacper Michalski,Ruch Chorzów,RM,60
Ole Erik Midtskogen,Odds BK,ST,60
Nicolas Milanovic,WS Wanderers,CAM,60
Noel Milleskog,Djurgårdens IF,RW,60
Tomasz Mokwa,Piast Gliwice,RB,60
Vladislav Molchan,SM Caen,CB,60
Nikolaj Moller,FC St. Gallen,ST,60
Thaddäus-Monju Momuluh,Hannover 96,RM,60
Madi Monamay,Leverkusen,CB,60
Santiago Morales,Sarmiento,CB,60
Sander Risan Mørk,Sandefjord,CM,60
Shayden Morris,Aberdeen,RW,60
Bryn Morris,Newport County,CDM,60
James Morris,Watford,LB,60
Jack Moylan,Shelbourne,ST,60
Leonhard Münst,VfB Stuttgart,CM,60
Noah Nadje,Angers SCO,ST,60
Stav Nahmani,St. Mirren,ST,60
Filippo Nardi,Reggiana,CM,60
Marco Nasti,Bari,ST,60
Jefferson Nazareno,Delfín S.C.,CB,60
Josh Neufville,AFC Wimbledon,RM,60
Oumar Ngom,Pau FC,CM,60
Marc Nielsen,Hvidovre IF,LB,60
Vinícius Nogueira,Varbergs BoIS,LWB,60
Franklin Nyenetue,Sandefjord,LW,60
Stephen O'Donnell,Motherwell,RWB,60
Ryan O'Kane,Dundalk,LM,60
Odel Offiah,Hearts,CB,60
Mazeed Ogungbo,Barrow,LWB,60
Oh In Pyo,Suwon FC,RM,60
Michael Olakigbe,Brentford,LW,60
James Olayinka,Cheltenham Town,CM,60
Edu Borges,GD Chaves,CB,60
Samed Onur,Karagümrük SK,CAM,60
Tyler Onyango,Everton,CM,60
Louis Oppie,Arminia Bielefeld,LB,60
Kristian Opseth,Sarpsborg 08,ST,60
Emmanuel Osadebe,Bradford City,CM,60
William Osula,Sheffield Utd,ST,60
Aramide Oteh,Walsall,ST,60
Mansour Ouro-Tagba,1860 München,ST,60
Daniel Oyegoke,Bradford City,RB,60
Kamil Pajnowski,Stal Mielec,CB,60
Agustín Palavecino,Estudiantes,CAM,60
Jan Paluska,Viktoria Plzeň,CB,60
Pan Ximing,Meizhou Hakka,CB,60
Park Dae Won,Suwon Samsung,CB,60
Park Sang Hyuk,Gangwon FC,ST,60
Leonardo Pérez,Metropolitanos,CB,60
Mateo Pérez,Banfield,CB,60
Joakim Persson,IK Sirius,ST,60
Ashley Phillips,Spurs,CB,60
Gabriele Piccinini,Pisa,CDM,60
Daniel Pik,Radomiak Radom,LM,60
Niccolò Pisilli,Roma FC,CM,60
Markus Poom,Shamrock Rovers,CM,60
Simon Power,Shamrock Rovers,RW,60
Ralph Priso,Colorado Rapids,CDM,60
Jamie Proctor,Barrow,ST,60
Joshua Quarshie,TSG Hoffenheim,CB,60
Kacper Radkowski,Bohemian FC,CB,60
Asish Rai,ATK Mohun Bagan,RB,60
Reshat Ramadani,Dynamo Kyiv,CDM,60
Marco Ramkilde,Hvidovre IF,ST,60
Connell Rawlinson,Notts County,CB,60
Sean Rea,CF Montréal,CF,60
Arthur Read,Colchester,CM,60
Hugo Redón,Levante UD,CM,60
Josh Reid,Ross County,LWB,60
Charlie Reilly,Dundee FC,LM,60
Jay Rich-Baghuelou,Accrington,CB,60
Magnus Riisnæs,Vålerenga Fotball,CM,60
Milan Robberechts,Fortuna Sittard,RM,60
Finlay Robertson,Dundee FC,CM,60
Fernando Rodríguez,Rosario Central,LB,60
