Name,Nation,Club,Position,Age,Overall
Yang Zexiang,China PR,Shanghai Shenhua,RB,28,58
Yang Boyu,China PR,Shenzhen FC,CB,34,58
Karifa Yao,Canada,Whitecaps FC,CB,23,58
Jake Young,England,Swindon Town,ST,22,58
Griffin Yow,United States,KVC Westerlo,RM,21,58
Zhang Li,China PR,Changchun Yatai,CM,34,58
Zhu Ting,China PR,Dalian Pro,RB,38,58
Hassan Abu Sharara,Saudi Arabia,Damac FC,CAM,26,57
Mihai Adăscăliței,Romania,SC Oțelul Galați,CM,28,57
Nathaniel Adjei,Ghana,Hammarby IF,CB,21,57
Jesper Adolfsson,Sweden,Mjällby AIF,CB,24,57
Malek Al Abdulmunem,Saudi Arabia,Al Fayha,ST,25,57
Thamer Al Ali,Saudi Arabia,Al Wehda,LM,24,57
Ahmad Al Habib,Saudi Arabia,Abha Club,CB,30,57
Yousef Al Harbi,Saudi Arabia,Al Wehda,CDM,26,57
Abdulrahman Al Harthi,Saudi Arabia,Al Tai,RM,25,57
Ahmad Al Mohaimeed,Saudi Arabia,Al Hazem,CDM,24,57
Mohammed Al Oufi,Saudi Arabia,Abha Club,LB,21,57
Noor Al Rashidi,Saudi Arabia,Damac FC,CB,28,57
Abdulrahman Al Riou,Saudi Arabia,Al Okhdood,LB,29,57
Abdullah Al Yousif,Saudi Arabia,Al Raed,LB,26,57
Noah Allen,United States,Inter Miami CF,LB,19,57
Ilyas Ansah,Germany,SC Paderborn 07,ST,18,57
Rob Apter,Scotland,Tranmere Rovers,CAM,20,57
Maleace Asamoah,England,Fleetwood Town,ST,20,57
Zach Awe,England,Southampton,CB,19,57
Bilal Bafdili,Belgium,KV Mechelen,CAM,19,57
Yunus Bahadır,Turkey,Alanyaspor,RB,21,57
Samson Baidoo,Austria,RB Salzburg,CB,19,57
Jonathan Barden,England,Sutton United,RB,30,57
Davis Bautista,Ecuador,Frankfurt,CB,18,57
Denis Benga,Romania,Univ. Craiova,LB,18,57
Tyler Bindon,United States,Reading,CB,18,57
Vladislav Blănuță,Moldova,FCU 1948,ST,21,57
Marc Bombardó,Spain,FC Andorra,CB,17,57
Pedro Borges,Portugal,Exeter City,CAM,18,57
Raphael Borges Rodrigues,Australia,Macarthur FC,LM,20,57
Ousseni Bouda,Burkina Faso,SJ Earthquakes,LM,23,57
Johan Brannefalk,Sweden,Sligo Rovers,RB,25,57
Harry Brockbank,England,St. Pats,RB,25,57
Charlie Brown,England,Morecambe,ST,24,57
Lukas Browning-Lagerfeldt,Sweden,Sligo Rovers,CDM,24,57
Daniel Bunk,Germany,Düsseldorf,CAM,19,57
Byeon Jun Soo,Korea Republic,Daejeon Citizen,CB,21,57
Evan Caffrey,Republic of Ireland,Shelbourne,CM,20,57
Cao Kang,China PR,Nantong Zhiyun FC,CDM,30,57
Juan David Carabalí,Colombia,Deportes Tolima,ST,20,57
Jarrod Carluccio,Australia,Perth Glory,RM,22,57
Conor Carty,Republic of Ireland,St. Pats,ST,21,57
Arnau Casas,Spain,Sarpsborg 08,CB,19,57
Miguel Chaiwa,Zambia,BSC Young Boys,CDM,19,57
Taylor Charters,England,Carlisle United,LWB,22,57
Caleb Chukwuemeka,England,Aston Villa,LW,21,57
Bobby Clark,England,Liverpool,CM,18,57
Jayden Clarke,England,Gillingham,CAM,22,57
Cian Coleman,Republic of Ireland,Cork City,CB,26,57
Cameron Congreve,Wales,Swansea City,CAM,19,57
Anders Dahl,Denmark,Silkeborg IF,CM,21,57
James Daly,England,Harrogate Town,ST,23,57
Alaín de Guzman,Bolivia,O. Petrolero,CAM,20,57
Sada Diallo,Belgium,RWD Molenbeek,CM,21,57
Ethan Dobbelaere,United States,Sounders FC,RM,20,57
Aibanbha Dohling,India,Kerala Blasters,LB,27,57
Callum Dolan,England,Fleetwood Town,CAM,23,57
Stephen Dooley,Northern Ireland,Harrogate Town,CM,31,57
Jed Drew,Australia,Macarthur FC,RM,20,57
Antonio Dumitru,Romania,Politehnica Iași,RW,18,57
Adrian Durrer,Switzerland,FC Lugano,CB,22,57
Maksymilian Dziuba,Poland,Lech Poznań,CM,18,57
Yacine El Amri,Morocco,Valenciennes FC,RM,19,57
Ziad El Sheiwi,Austria,FK Austria Wien,LWB,19,57
Luc Thomas Elsner,Germany,FC Erzgebirge Aue,ST,19,57
Aidomo Emakhu,Republic of Ireland,Millwall,ST,19,57
Abdulmohsen Fallatah,Saudi Arabia,Al Tai,CB,29,57
Zack Farnsworth,United States,Real Salt Lake,LB,21,57
Joshua Feeney,England,Aston Villa,CB,18,57
Justin Ferizaj,Republic of Ireland,Frosinone,CM,18,57
Robert Filip,Romania,CFR 1907 Cluj,CM,21,57
Shaqai Forde,England,Leyton Orient,ST,19,57
Justin Forst,Austria,WSG Tirol,ST,20,57
Pablo Gaitán,Argentina,SC Oțelul Galați,CM,31,57
Patrick Gamble,England,Blackburn Rovers,CB,20,57
Costin Ghiocel,Romania,SC Oțelul Galați,LB,29,57
Juan José Giménez,Paraguay,Cerro Porteño,RM,20,57
Jake Girdwood-Reich,Australia,Sydney FC,CDM,19,57
Grzegorz Glapka,Poland,ŁKS Łódź,RM,20,57
Ricardo Gonçalves,Poland,ŁKS Łódź,CAM,19,57
José González,Venezuela,Puerto Cabello,CB,21,57
Dani González,Spain,R. Racing Club,CAM,21,57
Will Greenidge,England,Colchester,CB,21,57
Leon Grgic,Austria,SK Sturm Graz,ST,17,57
Reo Griffiths,England,Doncaster,ST,23,57
Dylan Grimes,Republic of Ireland,Drogheda United,RM,25,57
Aaron Gurd,Australia,Sydney FC,CB,22,57
Gabriel Haider,Austria,SK Sturm Graz,CB,21,57
Pronay Halder,India,Jamshedpur FC,CDM,30,57
Oliver Hammond,Wales,Cheltenham Town,CM,20,57
He Longhai,China PR,Shanghai Shenhua,RM,22,57
Luke Heeney,Republic of Ireland,Drogheda United,RB,24,57
Oscar Højlund,Denmark,F.C. København,CDM,18,57
Florian Hoxha,Kosovo,Grasshopper Club,LWB,22,57
Ethan Ingram,England,Salford City,RB,20,57
David Irimia,Romania,FC Dinamo 1948,RB,17,57
Alexandru Irimia,Romania,FC Dinamo 1948,CM,17,57
Luke Ivanovic,Australia,Perth Glory,ST,23,57
Will Jarvis,England,Shelbourne,LW,20,57
David Jaunegg,Austria,WSG Tirol,RB,20,57
Jakub Jędrasik,Poland,Legia Warszawa,CAM,18,57
Niklas Jessen,Germany,FC St. Pauli,CM,20,57
Ji Dong Won,Korea Republic,FC Seoul,ST,32,57
William Kaastrup,Denmark,Randers FC,LB,19,57
Dion Kacuri,Switzerland,Grasshopper Club,CAM,19,57
Nils Kaiser,Germany,Rot-Weiss Essen,CM,21,57
Rahul KP,India,Kerala Blasters,RM,23,57
İlker Karakaş,Turkey,Gaziantep,ST,24,57
Lucas Kiewitt,Germany,Arminia Bielefeld,RM,17,57
Kim Hyun Woo,Korea Republic,Daejeon Citizen,CB,24,57
Kim Ju Yeop,Korea Republic,Suwon FC,RB,23,57
Kim Seung Woo,Korea Republic,GwangJu FC,CB,27,57
Kim Hee Seung,Korea Republic,Daegu FC,CM,20,57
Henrik Koch,Germany,Arminia Bielefeld,ST,17,57
Niko Koulis,Germany,Preußen Münster,CB,24,57
Dion Krasniqi,Kosovo,Varbergs BoIS,ST,20,57
Maksym Kucheriavyi,Ukraine,St. Johnstone,RM,21,57
Ritwik Kumar Das,India,Jamshedpur FC,LM,26,57
Jojea Kwizera,Congo DR,CF Montréal,LM,24,57
Jerry Lalrinzuala,India,Odisha FC,LB,25,57
Tobias Lauritsen,Denmark,Vejle Boldklub,CM,19,57
Lee Gi Hyeok,Korea Republic,Jeju United,RW,23,57
Paul Lehmann,Germany,Dynamo Dresden,CB,19,57
Li Shenyuan,China PR,Shanghai Port,RWB,26,57
Liu Wei,China PR,Nantong Zhiyun FC,CB,30,57
Alessandro Lopane,Australia,Melbourne City,CM,19,57
Ali Loune,Germany,1. FC Nürnberg,CDM,21,57
Ma Fuyu,China PR,Cangzhou FC,RM,22,57
Panashe Madanha,Australia,Adelaide United,RM,19,57
Ali Makki,Saudi Arabia,Al Wehda,CB,24,57
Dominik Marczuk,Poland,Jagiellonia,RM,19,57
Anthony Markanich,United States,St. Louis CITY SC,LB,23,57
Findlay Marshall,Scotland,Aberdeen,CAM,17,57
John Martin,Republic of Ireland,Dundalk,RM,24,57
Xander Martlé,Belgium,Cercle Brugge,RM,20,57
Yegor Matsenko,Ukraine,Śląsk Wrocław,CB,21,57
Reece McAlear,Scotland,Tranmere Rovers,CM,21,57
Ben McCormack,Republic of Ireland,St. Pats,CAM,20,57
James McManus,Republic of Ireland,Bohemian FC,CDM,18,57
D'Mani Mellor,England,Sutton United,LM,23,57
Juliën Mesbahi,Holland,FC Twente,CB,17,57
Cristian Mihai,Romania,UTA Arad,CDM,19,57
Harrison Minturn,England,Swindon Town,CB,19,57
Hendrik Mittelstädt,Germany,SC Verl,ST,23,57
Diego Monreal,Chile,Audax Italiano,CB,21,57
Divin Mubama,England,West Ham,ST,18,57
Miguel Muñoz,Spain,Piast Gliwice,CB,26,57
Christian N'Guessan,England,Sutton United,CM,24,57
Santiago Natera,Venezuela,Monagas SC,CM,18,57
Matthew Nocita,United States,Red Bulls,CB,23,57
Jack Nolan,England,Accrington,RM,22,57
Darragh Nugent,Republic of Ireland,Shamrock Rovers,CM,22,57
Joe O'Brien-Whitmarsh,Republic of Ireland,Cork City,CAM,18,57
Ollie O'Neill,Republic of Ireland,Fulham,CAM,20,57
Karl O'Sullivan,Republic of Ireland,Sligo Rovers,RM,23,57
Marcel Oakley,England,Birmingham City,RB,20,57
Idris Odutayo,England,Fulham,CB,20,57
Krystian Okoniewski,Poland,Radomiak Radom,ST,18,57
Chiel Olde Keizer,Holland,Heracles Almelo,LB,20,57
Gabriele Onesti,Italy,Ternana,LM,21,57
Darius Oroian,Romania,Sepsi OSK,RB,20,57
Jordi Ortega,Spain,Villarreal CF B,CM,20,57
Benjamín Osses,Chile,Cobresal,RM,21,57
Eren Öztürk,Turkey,Karlsruher SC,CM,19,57
Gerardo Padrón,Venezuela,Puerto Cabello,CM,20,57
Jasper Pattenden,England,Wycombe,CAM,21,57
Ayrton Paz,Bolivia,O. Petrolero,LB,21,57
Cameron Peupion,Australia,Cheltenham Town,CAM,21,57
Nikhil Poojary,India,Hyderabad FC,RB,28,57
Nicolas Popescu,Romania,Farul Constanța,CDM,20,57
Kacper Przybyłko,Poland,Warta Poznań,CB,18,57
Andrew Quinn,Republic of Ireland,Shelbourne,CB,21,57
Vinit Rai,India,Mumbai City FC,CDM,25,57
Mandar Rao Dessai,India,East Bengal,LB,31,57
Lewis Richards,Republic of Ireland,Bradford City,CB,21,57
Luke Robinson,Scotland,St. Johnstone,LB,21,57
Benjamín Rojas,Chile,Palestino,CB,22,57
Jack Roles,Cyprus,Crawley Town,CM,24,57
Yadegar Rostami,Iran,Pogoń Szczecin,CDM,19,57
Mats Rots,Holland,FC Twente,LB,17,57
Jakub Rozwadowski,Poland,Stal Mielec,RM,18,57
Marco Rus,Romania,Coventry City,CAM,20,57
Richie Sagrado,Belgium,OH Leuven,RB,19,57
Maxime Sainte,Sweden,Varbergs BoIS,RWB,21,57
David Sala,Romania,Univ. Craiova,CDM,19,57
Abundance Salaou,Côte d'Ivoire,IFK Göteborg,CDM,19,57
Franco Schädlich,Germany,FC Erzgebirge Aue,RB,19,57
Joël Schingtienne,Belgium,OH Leuven,CB,21,57
Sam Schutti,Austria,TSV Hartberg,LB,20,57
Nandhakumar Sekar,India,East Bengal,LM,27,57
Giovanny Sequera,Venezuela,Metropolitanos,CM,17,57
Hitesh Sharma,India,Hyderabad FC,CM,25,57
Yeljan Shinar,China PR,Nantong Zhiyun FC,RB,24,57
Efe-Kaan Sihlaroglu,Germany,Karlsruher SC,CM,18,57
Luís Semedo,Portugal,Sunderland,ST,20,57
Sandeep Singh,India,Kerala Blasters,RB,28,57
Axel Sjöberg,Sweden,St. Pats,RB,23,57
Herman Sjögrell,Sweden,IK Sirius,RW,22,57
Jordan Slew,England,Morecambe,ST,31,57
Oisin Smyth,Northern Ireland,Oxford United,CM,23,57
Fábio Jaló,Portugal,Barnsley,ST,17,57
Song Wenjie,China PR,Qingdao Hainiu,ST,32,57
Tobias Storm,Denmark,Lyngby BK,RWB,19,57
Yann Sturm,Germany,SC Freiburg II,CAM,18,57
Devin Sür,Germany,1860 München,LM,19,57
Hubert Szulc,Poland,Korona Kielce,ST,19,57
Diego Torres,Paraguay,Olimpia,LM,20,57
Madou Touré,France,Valenciennes FC,CDM,21,57
Atanas Trică-Balaci,Romania,Univ. Craiova,ST,19,57
David Udogu,Germany,FC Ingolstadt 04,RWB,20,57
Sascha Voelcke,Germany,Rot-Weiss Essen,LB,21,57
Hugo Vogel,France,FC Basel 1893,LB,19,57
James Waite,Wales,Newport County,CAM,24,57
Jakub Wajman,Poland,Warta Poznań,LM,18,57
Gabriel Wallentin,Sweden,Halmstads BK,CB,22,57
Steven Warnock,Scotland,Kilmarnock,RM,20,57
Evan Weir,Republic of Ireland,Drogheda United,LB,21,57
Jack Wells-Morrison,England,Crystal Palace,CM,19,57
Charlie Weston,England,Blackburn Rovers,CDM,19,57
Will Wilson,Australia,Central Coast,CM,21,57
John Ross Wilson,Republic of Ireland,Shelbourne,RWB,24,57
Oskar Wójcik,Poland,Cracovia,CB,20,57
Ben Worman,England,Cork City,CDM,22,57
Matthew Wright,Scotland,Ross County,ST,20,57
Xu Dong,China PR,Qingdao Hainiu,CB,32,57
Xu Yue,China PR,Shenzhen FC,CM,23,57
Yan Zihao,China PR,Cangzhou FC,LB,28,57
Yang Yihu,China PR,Meizhou Hakka,LB,32,57
Yang Fan,China PR,Tianjin JMT FC,CB,27,57
Yao Xuchen,China PR,Cangzhou FC,RM,24,57
Yeom Ki Hun,Korea Republic,Suwon Samsung,CM,40,57
Louis Zabala,Australia,Brisbane Roar,RB,22,57
Saud Zaidan,Saudi Arabia,Al Fayha,CM,23,57
Luis Zeballos,Bolivia,O. Petrolero,CM,21,57
Zhang Wei,China PR,Shanghai Shenhua,ST,23,57
Zhou Junchen,China PR,Shanghai Shenhua,LM,23,57
Tobi Adebayo-Rowling,England,Notts County,RWB,26,56
Leslie Adekoya,Republic of Ireland,Accrington,ST,19,56
Hamad Al Abdan,Saudi Arabia,Al Khaleej,CAM,23,56
Hassan Al Ali,Saudi Arabia,Abha Club,ST,21,56
Bassam Al Hurayji,Saudi Arabia,Al Ahli,RB,23,56
Ziyad Al Johani,Saudi Arabia,Al Ahli,CM,21,56
Abdullah Al Shanqeeti,Saudi Arabia,Al Khaleej,CB,24,56
Abdulrahman Al Yami,Saudi Arabia,Al Riyadh,ST,26,56
Ethan Alagich,Australia,Adelaide United,CAM,19,56
Abdihakin Ali,Sweden,AIK,CM,21,56
Rahim Ali,India,Chennaiyin FC,LM,23,56
Samuel Amo-Ameyaw,England,Southampton,LW,17,56
Jacob Florentin Andersen,Denmark,AGF,RWB,19,56
Karoy Anderson,Jamaica,Charlton Ath,CM,19,56
Jaber Asiri,Saudi Arabia,Al Wehda,ST,26,56
Edison Azcona,Dominican Republic,Inter Miami CF,LM,19,56
Cammy Ballantyne,Scotland,St. Johnstone,CM,23,56
Kailin Barlow,Republic of Ireland,Sligo Rovers,CAM,20,56
Dawid Barnowski,Poland,Ruch Chorzów,RM,21,56
Aaron Basenach,Germany,Kaiserslautern,CDM,20,56
Ciaran Behan,Republic of Ireland,UCD AFC,RM,22,56
Alfie Bendle,England,Forest Green,CDM,18,56
Marvin Benjamins,Germany,Preußen Münster,ST,21,56
Kian Best,England,Preston,LWB,18,56
Victor Bezerra,United States,Chicago Fire FC,ST,23,56
Jake Bickerstaff,England,Wrexham AFC,ST,22,56
Asbjørn Bøndergaard,Denmark,Silkeborg IF,ST,19,56
Valentin Borcea,Romania,FC Dinamo 1948,CAM,21,56
Caolán Boyd-Munce,Northern Ireland,St. Mirren,CM,23,56
Stijn Bultman,Holland,Heracles Almelo,CB,18,56
Santiago Castaneda,United States,MSV Duisburg,CM,18,56
Carmine Chiappetta,Switzerland,FC Winterthur,LM,20,56
Richard Chin,England,Charlton Ath,LB,20,56
Farukh Choudhary,India,Chennaiyin FC,LM,26,56
Kai Corbett,England,Peterborough,ST,21,56
Martim Marques,Portugal,FC Lugano,LB,19,56
Mark Coyle,Republic of Ireland,Shelbourne,CM,26,56
Darragh Crowley,Republic of Ireland,Cork City,RWB,23,56
Mauricio Cuevas,United States,LA Galaxy,RB,20,56
Cui Qi,China PR,Changchun Yatai,CB,25,56
Cui Wei,China PR,Meizhou Hakka,CDM,29,56
Kevin Čustović,Sweden,Cork City,CM,23,56
Marcus Dackers,Wales,Salford City,ST,20,56
Vignesh Dakshinamurthy,India,Hyderabad FC,LB,25,56
Gabriel David,Romania,FC Botoșani,RB,20,56
Dawyn-Paul Donner,Germany,SC Paderborn 07,CB,21,56
Seiminlen Doungel,India,Jamshedpur FC,RM,29,56
George Dragomir,Romania,FC Botoșani,RW,20,56
Aaron Drewe,England,QPR,RB,22,56
Conor Drinan,Republic of Ireland,Cork City,LM,22,56
Du Yuezheng,China PR,Shenzhen FC,ST,18,56
Mischa Eberhard,Switzerland,Stade-Lausanne,CM,21,56
Evan Eghosa,England,Coventry City,CAM,18,56
Max Ejdum,Denmark,Odense BK,CM,18,56
Nouri El Harmazi,Holland,RKC Waalwijk,CAM,21,56
Jack Ellis,England,Carlisle United,RWB,19,56
Pascal Fallmann,Austria,SC Freiburg II,RB,19,56
Jayden Fevrier,England,Colchester,LM,20,56
Charlie Finney,England,Crewe Alexandra,LB,19,56
Joseph Forde,Australia,Perth Glory,LWB,20,56
Joe Foulkes,England,Walsall,RWB,20,56
Narender Gahlot,India,Odisha FC,RB,22,56
Michael Gallagher,Republic of Ireland,UCD AFC,RB,23,56
Joseph Gbode,England,Gillingham,ST,18,56
Neal Gibs,Germany,Kaiserslautern,LB,21,56
Jannik Graf,Germany,Jahn Regensburg,ST,18,56
Ryan Graydon,Republic of Ireland,Fleetwood Town,RM,24,56
Michał Gurgul,Poland,Lech Poznań,CB,17,56
Ha Seung Un,Korea Republic,GwangJu FC,LM,25,56
Luke Haakenson,United States,Nashville SC,CM,26,56
Kamron Habibullah,Canada,Whitecaps FC,LM,19,56
Jad Hakiki,Republic of Ireland,Shelbourne,CM,19,56
Jordon Hall,England,Melbourne City,CB,25,56
Han Jong Mu,Korea Republic,Jeju United,CM,20,56
He Yupeng,China PR,Dalian Pro,RB,23,56
Brad Hills,England,Accrington,CB,19,56
Emil Højlund,Denmark,F.C. København,ST,18,56
Fabian Holst-Larsen,Norway,Strømsgodset IF,RWB,18,56
Huang Jiahui,China PR,Dalian Pro,CB,23,56
Mutellip Iminqari,China PR,Rongcheng FC,LW,19,56
Matty Jacob,England,Hull City,LB,22,56
Aniket Jadhav,India,Odisha FC,LW,23,56
Imam Jagne,Sweden,Mjällby AIF,CDM,20,56
Douglas James-Taylor,England,Walsall,ST,21,56
Leo Jansson,Sweden,Varbergs BoIS,CB,20,56
Jeon Byung Kwan,Korea Republic,Daejeon Citizen,ST,20,56
Jiang Ning,China PR,Qingdao Hainiu,CM,37,56
Oliver Jones,Australia,Macarthur FC,CB,20,56
Jung Ji Hoon,Korea Republic,GwangJu FC,LM,19,56
Issa Kaloga,Switzerland,Servette FC,RW,19,56
Kang Yoon Gu,Korea Republic,Ulsan Hyundai,CAM,21,56
Naif Kariri,Saudi Arabia,Al Wehda,RB,25,56
Dara Keane,Republic of Ireland,UCD AFC,CDM,24,56
Kipp Keller,United States,Austin FC,CB,23,56
Puitea,India,Odisha FC,CM,25,56
Kim Dae Woo,Korea Republic,Gangwon FC,CM,22,56
Kim Yeon Soo,Korea Republic,Incheon United,CB,29,56
Kim Gyu Hyeong,Korea Republic,Suwon FC,CAM,24,56
Kim Dae Hwan,Korea Republic,Jeju United,RW,18,56
Danu Kinsella-Bishop,Republic of Ireland,UCD AFC,ST,21,56
Tim Kloss,Germany,1860 München,CDM,19,56
Jakub Konstantyn,Poland,Korona Kielce,LM,21,56
Adam Kramarz,Poland,Puszcza,RW,21,56
Mikkel Kristensen,Denmark,AGF,CB,17,56
Jeroen Krupa,Germany,FC Ingolstadt 04,ST,20,56
Johan Kury,Switzerland,Yverdon Sport FC,RM,22,56
Sasha Kuzevski,Australia,Central Coast,RB,22,56
Ricky Lallawmawma,India,Jamshedpur FC,LB,32,56
Li Xiangbin,China PR,Nantong Zhiyun FC,CDM,32,56
Li Yongjia,China PR,Meizhou Hakka,CM,22,56
Calixte Paul Ligue,Switzerland,FC Zürich,ST,18,56
Elvis Lindkvist,Sweden,IFK Norrköping,CAM,21,56
Luca Lipani,Italy,Sassuolo,CDM,18,56
Liu Yue,China PR,Shenzhen FC,LM,26,56
Liu Jiashen,China PR,Qingdao Hainiu,CB,31,56
Pablo Luján,Bolivia,Blooming,RM,20,56
Magnus Lysholm,Denmark,Hvidovre IF,RB,21,56
Théo Magnin,Switzerland,Servette FC,RB,20,56
Abdulaziz Makin,Saudi Arabia,Damac FC,LW,22,56
Johan Manzambi,Switzerland,SC Freiburg II,CM,17,56
Mohammed Marran,Saudi Arabia,Al Nassr,ST,22,56
Dan Martin,England,Accrington,CM,21,56
Glan Martins,India,ATK Mohun Bagan,CDM,29,56
Abdullah Matuq,Saudi Arabia,Al Shabab,RW,20,56
Evans Maurin,France,Yverdon Sport FC,ST,22,56
JJ McKiernan,Northern Ireland,Morecambe,CAM,21,56
Brian McManus,Republic of Ireland,Shelbourne,CM,21,56
Aaron McNally,Republic of Ireland,Drogheda United,LB,23,56
Richard Meier,Germany,SV Sandhausen,ST,19,56
Steffen Meuer,Germany,FC Erzgebirge Aue,RM,23,56
Leny Meyer,Switzerland,FC Luzern,LB,19,56
Zoran Mitrov,Romania,FC Petrolul,CAM,21,56
Thoiba Singh Moirangthem,India,Odisha FC,CDM,20,56
Roméo Monticelli,Belgium,Sp. Charleroi,LWB,18,56
John Mountney,Republic of Ireland,Dundalk,RB,30,56
Muhmet Nebijan,China PR,Beijing Guoan,LB,22,56
Joy Mukena,Belgium,Crawley Town,CB,24,56
Pascal Müller,Austria,Wolfsberger AC,CM,20,56
Cian Murphy,Republic of Ireland,Cork City,ST,23,56
Adam Murphy,Republic of Ireland,St. Pats,CM,18,56
Kelly N'Mai,Holland,Salford City,RM,19,56
Sivasakthi Narayanan,India,Bengaluru FC,ST,22,56
Niklas Niehoff,Germany,Holstein Kiel,ST,19,56
Tom Nixon,England,Doncaster,RB,20,56
Alex Nolan,Republic of Ireland,St. Pats,RM,20,56
Darragh Noone,Republic of Ireland,Drogheda United,CDM,26,56
Alan Nuñez,Paraguay,Cerro Porteño,RB,19,56
Henry Obermeyer,Germany,Arminia Bielefeld,CDM,17,56
Zech Obiero,England,Leyton Orient,CAM,18,56
Justin Obikwu,England,Coventry City,ST,19,56
Alfonso Ocampo-Chavez,United States,Austin FC,ST,21,56
David Okagbue,Republic of Ireland,Walsall,CB,20,56
Mayka Okuka,Switzerland,Lausanne-Sport,CM,20,56
Oliver Olsen,Denmark,Randers FC,RB,23,56
Toyosi Olusanya,England,St. Mirren,ST,25,56
Tobi Omole,England,Crawley Town,CB,23,56
Tyrese Omotoye,Belgium,Forest Green,ST,21,56
Adriano Onyegbule,Germany,FC Basel 1893,CAM,17,56
Arquimides Ordoñez,Guatemala,FC Cincinnati,ST,20,56
Evan Osam,Republic of Ireland,UCD AFC,LB,26,56
Trent Ostler,Australia,Perth Glory,ST,21,56
Mohamed Oukhattou,Holland,PEC Zwolle,CAM,18,56
Timothy Noor Ouma,Kenya,IF Elfsborg,CAM,19,56
Sahil Panwar,India,Odisha FC,LB,23,56
Michael Parker,England,Shrewsbury,CB,18,56
Gabriel Pellegrino,Canada,SC Freiburg II,CM,19,56
Oliver Pettersson,Finland,HJK Helsinki,CB,20,56
Piao Taoyu,China PR,Tianjin JMT FC,CM,30,56
James Plant,England,Port Vale,RWB,19,56
Filip Przybułek,Poland,Widzew Łódź,CM,20,56
Sebastian Quirk,England,Accrington,CM,21,56
Junior Quitirna,Guinea-Bissau,Fleetwood Town,RM,23,56
Mohammed Rafique,India,Chennaiyin FC,RB,32,56
Liam Ravenhill,Northern Ireland,Doncaster,CM,20,56
Filip Rejczyk,Poland,Legia Warszawa,CM,17,56
Rico Richards,England,Aston Villa,LM,20,56
Sean Robertson,England,Forest Green,RB,22,56
Darren Robinson,Northern Ireland,Derby County,CM,18,56
Bogdan Rotar,Romania,FC Hermannstadt,RW,21,56
Filip Rózga,Poland,Cracovia,LM,17,56
Juan Rubiano,Colombia,Deportes Tolima,CAM,21,56
Aakash Sangwan,India,Chennaiyin FC,LB,28,56
Joshua Seberry,Republic of Ireland,Newport County,CB,19,56
Maximilian Sellinger,Austria,TSV Hartberg,CDM,21,56
Shang Yin,China PR,Dalian Pro,RW,34,56
Vikram Singh,India,Mumbai City FC,RW,21,56
Boris Singh,India,FC Goa,RM,23,56
Ronald Sithole,England,Gillingham,ST,18,56
Jack Skahan,United States,SJ Earthquakes,CM,25,56
Vegard Solheim,Norway,FK Haugesund,RB,19,56
Oscar Solnørdal,Norway,Aalesunds FK,CM,20,56
Jakub Stec,Poland,Puszcza,CDM,18,56
Elliot Stroud,Sweden,Mjällby AIF,LWB,21,56
Sun Qinhan,China PR,Cangzhou FC,RWB,23,56
Sun Zheng'ao,China PR,Zhejiang Pro,CB,29,56
Nim Dorjee Tamang,India,Hyderabad FC,CB,27,56
Aljaž Tavčar,Slovenia,Ascoli,CB,22,56
Emre Tezgel,England,Stoke City,ST,18,56
Dagur Dan Þór­halls­son,Iceland,Orlando City,CM,23,56
Junior Tiensia,England,Barrow,LWB,22,56
Mert Yusuf Torlak,Turkey,Alanyaspor,CAM,21,56
Niko Tsakiris,United States,SJ Earthquakes,CAM,18,56
Ethon Varian,Republic of Ireland,Cork City,ST,22,56
Luis Vásquez,Chile,Cobresal,CM,21,56
Lewis Walker,England,Gillingham,ST,25,56
Wang Yaopeng,China PR,Dalian Pro,CB,28,56
Wang Yang,China PR,Zhejiang Pro,CB,30,56
Wang Yu,China PR,Dalian Pro,CDM,21,56
Suresh Wangjam,India,Bengaluru FC,CM,23,56
Reece Welch,England,Forest Green,CB,20,56
Harry Williams,England,Walsall,CB,21,56
Charlie Winfield,England,Barnsley,LWB,21,56
Tyler Wolff,United States,Atlanta United,CM,20,56
Max Woltman,England,Oxford United,CAM,20,56
Harry Wood,England,Shelbourne,CM,21,56
Marco Wörner,Germany,SC Freiburg II,CAM,19,56
Marcel Wszołek,Poland,ŁKS Łódź,RB,21,56
Wu Guichao,China PR,Rongcheng FC,LW,26,56
Xu Yang,China PR,Qingdao Hainiu,LM,36,56
Yang Chaosheng,China PR,Meizhou Hakka,RM,30,56
Yang Dong Hyen,Korea Republic,Suwon FC,ST,37,56
Yang Yilin,China PR,Meizhou Hakka,LM,24,56
Jonny Yull,Australia,Adelaide United,CAM,18,56
Zhao Yingjie,China PR,Tianjin JMT FC,CM,31,56
Adam Zimarino,Australia,Perth Glory,ST,22,56
Tizian Zimmermann,Germany,Unterhaching,CB,21,56
Tobi Adeyemo,England,Watford,ST,18,55
Martin Agnarsson,Faroe Islands,Viborg FF,LB,19,55
Johan Persson Åhstedt,Sweden,Mjällby AIF,LWB,20,55
Khalil Al Absi,Saudi Arabia,Al Hazem,LM,22,55
Abdulrahman Al Enazi,Saudi Arabia,Al Fayha,CM,25,55
Firas Al Ghamdi,Saudi Arabia,Al Raed,RM,23,55
Abdulrahman Al Hajeri,Saudi Arabia,Al Wehda,LB,27,55
Omar Al Jadaani,Saudi Arabia,Al Ittihad,LM,24,55
Hassan Al Mohammed,Saudi Arabia,Al Fateh,CDM,25,55
